Quarter,P&L revenue,Estimated paid-team FTE,Annualized revenue/FTE,Net income,Net margin %
2022 Q1,115491,11.55,40541,-16309,-14.1
2022 Q2,130234,10.58,49376,3903,3.0
2022 Q3,184585,14.37,50959,22012,11.9
2022 Q4,159225,26.71,23652,-5758,-3.6
2023 Q1,204883,18.46,45019,-11209,-5.5
2023 Q2,218748,12.63,69448,32714,15.0
2023 Q3,204181,16.29,49722,-1424,-0.7
2023 Q4,184586,11.06,66240,1120,0.6
2024 Q1,207960,10.28,81111,46772,22.5
2024 Q2,200571,9.7,82973,32736,16.3
2024 Q3,214438,11.43,74421,39704,18.5
2024 Q4,160208,9.17,69342,-8024,-5.0
2025 Q1,143044,7.95,72944,-1711,-1.2
2025 Q2,159756,7.13,89832,30276,19.0
2025 Q3,168403,6.57,101694,25957,15.4
2025 Q4,161664,6.47,99102,27024,16.7
2026 Q1,185710,6.27,120094,31712,17.1
